feature,length,true_h,pred_h,Udist,result_type
exon_1,500,1.0,1.459345796295235,0,average
exon_2,500,0.6,1.2118746688337538,500,average
exon_3,5000,1.0,1.0266554771621679,1000,average
exon_1,500,1.0,1.4947733440758315,0,oneIter
exon_2,500,0.6,1.2275930986344779,500,oneIter
exon_3,5000,1.0,1.0262263687686066,1000,oneIter
exon_1,500,1.0,1.4391619830807518,0,oneIter
exon_2,500,0.6,1.1292361499766879,500,oneIter
exon_3,5000,1.0,1.0320578763657733,1000,oneIter
exon_1,500,1.0,1.1949929815214,0,oneIter
exon_2,500,0.6,1.2959267910713186,500,oneIter
exon_3,5000,1.0,1.0307923012555458,1000,oneIter
exon_1,500,1.0,1.7792097877397313,0,oneIter
exon_2,500,0.6,1.0476433000854002,500,oneIter
exon_3,5000,1.0,1.0338655140601962,1000,oneIter
exon_1,500,1.0,1.5634200158634113,0,oneIter
exon_2,500,0.6,1.2730573784672814,500,oneIter
exon_3,5000,1.0,1.0215816564551572,1000,oneIter
exon_1,500,1.0,1.516807293873771,0,oneIter
exon_2,500,0.6,1.1191287667434757,500,oneIter
exon_3,5000,1.0,1.0262587511498242,1000,oneIter
exon_1,500,1.0,1.169537986375834,0,oneIter
exon_2,500,0.6,1.2716334384173935,500,oneIter
exon_3,5000,1.0,1.0257368394129496,1000,oneIter
exon_1,500,1.0,1.3701210338449687,0,oneIter
exon_2,500,0.6,1.20482669872801,500,oneIter
exon_3,5000,1.0,1.025145848646274,1000,oneIter
exon_1,500,1.0,1.6884000651242241,0,oneIter
exon_2,500,0.6,1.114059863544282,500,oneIter
exon_3,5000,1.0,1.0232781044664867,1000,oneIter
exon_1,500,1.0,1.3770334714524273,0,oneIter
exon_2,500,0.6,1.4356412026692111,500,oneIter
exon_3,5000,1.0,1.0216115110408668,1000,oneIter
exon_1,500,1.0,7.117490808219991e+25,0,average
exon_2,1000,0.6,0.5464970079909591,500,average
exon_3,5000,1.0,1.021466887830483,1500,average
exon_1,500,1.0,179922999261512.03,0,oneIter
exon_2,1000,0.6,0.5436765133841055,500,oneIter
exon_3,5000,1.0,1.0211234280581591,1500,oneIter
exon_1,500,1.0,8.309193761328195e+20,0,oneIter
exon_2,1000,0.6,0.5535624608167559,500,oneIter
exon_3,5000,1.0,1.0173109814638717,1500,oneIter
exon_1,500,1.0,1.8847872402026932e+20,0,oneIter
exon_2,1000,0.6,0.5379895115320371,500,oneIter
exon_3,5000,1.0,1.0267846152622737,1500,oneIter
exon_1,500,1.0,7.116634948649708e+26,0,oneIter
exon_2,1000,0.6,0.5475331824610634,500,oneIter
exon_3,5000,1.0,1.0219516867237584,1500,oneIter
exon_1,500,1.0,3.2509423156398174e+19,0,oneIter
exon_2,1000,0.6,0.5499415319852013,500,oneIter
exon_3,5000,1.0,1.0184722705131877,1500,oneIter
exon_1,500,1.0,7.212596175847651e+16,0,oneIter
exon_2,1000,0.6,0.5488776391068063,500,oneIter
exon_3,5000,1.0,1.023975147333156,1500,oneIter
exon_1,500,1.0,196779461511243.22,0,oneIter
exon_2,1000,0.6,0.5438646161815381,500,oneIter
exon_3,5000,1.0,1.021515487085395,1500,oneIter
exon_1,500,1.0,6.744722344274374e+19,0,oneIter
exon_2,1000,0.6,0.5439132888348172,500,oneIter
exon_3,5000,1.0,1.0223217746059283,1500,oneIter
exon_1,500,1.0,8.446639904237673e+22,0,oneIter
exon_2,1000,0.6,0.551206325643089,500,oneIter
exon_3,5000,1.0,1.0188457781451368,1500,oneIter
exon_1,500,1.0,1.307362111339347e+17,0,oneIter
exon_2,1000,0.6,0.5444050099641771,500,oneIter
exon_3,5000,1.0,1.022367709113961,1500,oneIter
exon_1,500,1.0,0.570519317728202,0,average
exon_2,1500,0.6,0.6908837907170003,500,average
exon_3,5000,1.0,1.0417241953239649,2000,average
exon_1,500,1.0,0.5805790661377289,0,oneIter
exon_2,1500,0.6,0.6904521285387264,500,oneIter
exon_3,5000,1.0,1.0413803219018234,2000,oneIter
exon_1,500,1.0,0.5676122376879212,0,oneIter
exon_2,1500,0.6,0.6916320727083304,500,oneIter
exon_3,5000,1.0,1.041147916971646,2000,oneIter
exon_1,500,1.0,0.5628157791131212,0,oneIter
exon_2,1500,0.6,0.6931552532929539,500,oneIter
exon_3,5000,1.0,1.042989829727691,2000,oneIter
exon_1,500,1.0,0.6022050305843063,0,oneIter
exon_2,1500,0.6,0.6779222003539914,500,oneIter
exon_3,5000,1.0,1.049720896984902,2000,oneIter
exon_1,500,1.0,0.5688128535203262,0,oneIter
exon_2,1500,0.6,0.6953377125088733,500,oneIter
exon_3,5000,1.0,1.0381575054847738,2000,oneIter
exon_1,500,1.0,0.5908843869393657,0,oneIter
exon_2,1500,0.6,0.6804644274347258,500,oneIter
exon_3,5000,1.0,1.0472234182820261,2000,oneIter
exon_1,500,1.0,0.5602182275283908,0,oneIter
exon_2,1500,0.6,0.6933448161430138,500,oneIter
exon_3,5000,1.0,1.040789663221318,2000,oneIter
exon_1,500,1.0,0.5528769972069412,0,oneIter
exon_2,1500,0.6,0.6913762354297247,500,oneIter
exon_3,5000,1.0,1.043537833792112,2000,oneIter
exon_1,500,1.0,0.5565500713872297,0,oneIter
exon_2,1500,0.6,0.696814284589361,500,oneIter
exon_3,5000,1.0,1.034380739622076,2000,oneIter
exon_1,500,1.0,0.5626385271766872,0,oneIter
exon_2,1500,0.6,0.698338776170302,500,oneIter
exon_3,5000,1.0,1.0379138272512833,2000,oneIter
exon_1,1000,1.0,0.5075393676713005,0,average
exon_2,500,0.6,1.4039657871534788,1000,average
exon_3,5000,1.0,0.9663292329874937,1500,average
exon_1,1000,1.0,0.5056666781531642,0,oneIter
exon_2,500,0.6,1.4572499615171453,1000,oneIter
exon_3,5000,1.0,0.967033455565172,1500,oneIter
exon_1,1000,1.0,0.5047265213668749,0,oneIter
exon_2,500,0.6,1.329734292910643,1000,oneIter
exon_3,5000,1.0,0.9685617105036326,1500,oneIter
exon_1,1000,1.0,0.5294568680195798,0,oneIter
exon_2,500,0.6,1.257501117786209,1000,oneIter
exon_3,5000,1.0,0.9665914131386422,1500,oneIter
exon_1,1000,1.0,0.5012110785658083,0,oneIter
exon_2,500,0.6,1.5292763431666945,1000,oneIter
exon_3,5000,1.0,0.9624581402838014,1500,oneIter
exon_1,1000,1.0,0.5079015283253676,0,oneIter
exon_2,500,0.6,1.4951199118305218,1000,oneIter
exon_3,5000,1.0,0.9614202468032226,1500,oneIter
exon_1,1000,1.0,0.48747082423984917,0,oneIter
exon_2,500,0.6,1.5841826651523474,1000,oneIter
exon_3,5000,1.0,0.9608519962228013,1500,oneIter
exon_1,1000,1.0,0.506303249550078,0,oneIter
exon_2,500,0.6,1.2982870329514726,1000,oneIter
exon_3,5000,1.0,0.9737184058598765,1500,oneIter
exon_1,1000,1.0,0.5067293502683639,0,oneIter
exon_2,500,0.6,1.407853410300584,1000,oneIter
exon_3,5000,1.0,0.963795452298865,1500,oneIter
exon_1,1000,1.0,0.494434245086723,0,oneIter
exon_2,500,0.6,1.4437771617805173,1000,oneIter
exon_3,5000,1.0,0.9689120502191971,1500,oneIter
exon_1,1000,1.0,0.531493333137197,0,oneIter
exon_2,500,0.6,1.23667597413865,1000,oneIter
exon_3,5000,1.0,0.969949458979726,1500,oneIter
exon_1,1000,1.0,0.8434695836988969,0,average
exon_2,1000,0.6,0.5631541490281028,1000,average
exon_3,5000,1.0,0.99732587408574,2000,average
exon_1,1000,1.0,0.8473580848426259,0,oneIter
exon_2,1000,0.6,0.5640826589697086,1000,oneIter
exon_3,5000,1.0,0.9971315614968895,2000,oneIter
exon_1,1000,1.0,0.8340308187182927,0,oneIter
exon_2,1000,0.6,0.5635247827410694,1000,oneIter
exon_3,5000,1.0,1.0012315713661295,2000,oneIter
exon_1,1000,1.0,0.8258066370887754,0,oneIter
exon_2,1000,0.6,0.5694159615868601,1000,oneIter
exon_3,5000,1.0,0.9938082745110488,2000,oneIter
exon_1,1000,1.0,0.8218178341255687,0,oneIter
exon_2,1000,0.6,0.5683688651705742,1000,oneIter
exon_3,5000,1.0,0.9950343822708034,2000,oneIter
exon_1,1000,1.0,0.835844353505646,0,oneIter
exon_2,1000,0.6,0.5599868591841104,1000,oneIter
exon_3,5000,1.0,1.0014247433742922,2000,oneIter
exon_1,1000,1.0,0.8471698042586602,0,oneIter
exon_2,1000,0.6,0.5633814641491085,1000,oneIter
exon_3,5000,1.0,0.9953595446269344,2000,oneIter
exon_1,1000,1.0,0.8229490339041972,0,oneIter
exon_2,1000,0.6,0.5703287686927536,1000,oneIter
exon_3,5000,1.0,0.9947351904942384,2000,oneIter
exon_1,1000,1.0,0.868259602327587,0,oneIter
exon_2,1000,0.6,0.5592727248568704,1000,oneIter
exon_3,5000,1.0,0.9966928028425356,2000,oneIter
exon_1,1000,1.0,0.8780023062840167,0,oneIter
exon_2,1000,0.6,0.5553118550423561,1000,oneIter
exon_3,5000,1.0,1.0001137392813286,2000,oneIter
exon_1,1000,1.0,0.8534573619335996,0,oneIter
exon_2,1000,0.6,0.5578675498876164,1000,oneIter
exon_3,5000,1.0,0.9977269305931988,2000,oneIter
exon_1,1000,1.0,2.297743178397498,0,average
exon_2,1500,0.6,0.6398813637360402,1000,average
exon_3,5000,1.0,1.0119760115187066,2500,average
exon_1,1000,1.0,2.3927493728019313,0,oneIter
exon_2,1500,0.6,0.6359459122660827,1000,oneIter
exon_3,5000,1.0,1.0144487539659843,2500,oneIter
exon_1,1000,1.0,2.347941260144815,0,oneIter
exon_2,1500,0.6,0.6366658012762474,1000,oneIter
exon_3,5000,1.0,1.0134058898571912,2500,oneIter
exon_1,1000,1.0,2.2663785018079583,0,oneIter
exon_2,1500,0.6,0.6432025822571751,1000,oneIter
exon_3,5000,1.0,1.0109336347767288,2500,oneIter
exon_1,1000,1.0,2.287612946784629,0,oneIter
exon_2,1500,0.6,0.6403753017809779,1000,oneIter
exon_3,5000,1.0,1.011633756256072,2500,oneIter
exon_1,1000,1.0,2.3861970758788464,0,oneIter
exon_2,1500,0.6,0.6385655207725267,1000,oneIter
exon_3,5000,1.0,1.0124966650152862,2500,oneIter
exon_1,1000,1.0,2.2310743964116138,0,oneIter
exon_2,1500,0.6,0.6401984141380825,1000,oneIter
exon_3,5000,1.0,1.010854020312713,2500,oneIter
exon_1,1000,1.0,2.324006179632236,0,oneIter
exon_2,1500,0.6,0.6397437315436023,1000,oneIter
exon_3,5000,1.0,1.011090673087098,2500,oneIter
exon_1,1000,1.0,2.203109802916613,0,oneIter
exon_2,1500,0.6,0.6431501700716079,1000,oneIter
exon_3,5000,1.0,1.0080191760057926,2500,oneIter
exon_1,1000,1.0,2.157595744899858,0,oneIter
exon_2,1500,0.6,0.6397900206560021,1000,oneIter
exon_3,5000,1.0,1.0137642375751896,2500,oneIter
exon_1,1000,1.0,2.380766502696477,0,oneIter
exon_2,1500,0.6,0.6411761825980974,1000,oneIter
exon_3,5000,1.0,1.0131133083350112,2500,oneIter
exon_1,1500,1.0,0.9059739318349624,0,average
exon_2,1000,0.6,0.6122083337738233,1500,average
exon_3,5000,1.0,0.9911003876677771,2500,average
exon_1,1500,1.0,0.907261940292731,0,oneIter
exon_2,1000,0.6,0.6120527923319459,1500,oneIter
exon_3,5000,1.0,0.9911212835723748,2500,oneIter
exon_1,1500,1.0,0.9078842895447056,0,oneIter
exon_2,1000,0.6,0.610053840622032,1500,oneIter
exon_3,5000,1.0,0.9926089504100348,2500,oneIter
exon_1,1500,1.0,0.9086197656196148,0,oneIter
exon_2,1000,0.6,0.6096811834866619,1500,oneIter
exon_3,5000,1.0,0.9922940995931054,2500,oneIter
exon_1,1500,1.0,0.9123765265820115,0,oneIter
exon_2,1000,0.6,0.6079052979269257,1500,oneIter
exon_3,5000,1.0,0.9935139987056094,2500,oneIter
exon_1,1500,1.0,0.8992274068615362,0,oneIter
exon_2,1000,0.6,0.6160287265838554,1500,oneIter
exon_3,5000,1.0,0.9890542501303027,2500,oneIter
exon_1,1500,1.0,0.9043859300425424,0,oneIter
exon_2,1000,0.6,0.614402010507876,1500,oneIter
exon_3,5000,1.0,0.990101803658211,2500,oneIter
exon_1,1500,1.0,0.9007082385110468,0,oneIter
exon_2,1000,0.6,0.6166717941104197,1500,oneIter
exon_3,5000,1.0,0.9884626976673285,2500,oneIter
exon_1,1500,1.0,0.9085631166344587,0,oneIter
exon_2,1000,0.6,0.6118059323636668,1500,oneIter
exon_3,5000,1.0,0.9910977950035346,2500,oneIter
exon_1,1500,1.0,0.9159201868854788,0,oneIter
exon_2,1000,0.6,0.6097784475570084,1500,oneIter
exon_3,5000,1.0,0.9912076748820586,2500,oneIter
exon_1,1500,1.0,0.8947919173754993,0,oneIter
exon_2,1000,0.6,0.6137033122478414,1500,oneIter
exon_3,5000,1.0,0.9915413230552089,2500,oneIter
exon_1,1500,1.0,3.6362101832476363,0,average
exon_2,1500,0.6,0.6324009714740615,1500,average
exon_3,5000,1.0,0.9876654643932125,3000,average
exon_1,1500,1.0,3.6909231738405053,0,oneIter
exon_2,1500,0.6,0.6338391025117632,1500,oneIter
exon_3,5000,1.0,0.9849675272053486,3000,oneIter
exon_1,1500,1.0,3.652454997837432,0,oneIter
exon_2,1500,0.6,0.6305930186463591,1500,oneIter
exon_3,5000,1.0,0.9882594433645389,3000,oneIter
exon_1,1500,1.0,3.660720502676167,0,oneIter
exon_2,1500,0.6,0.6345445770301382,1500,oneIter
exon_3,5000,1.0,0.9871426380110704,3000,oneIter
exon_1,1500,1.0,3.5629147438144315,0,oneIter
exon_2,1500,0.6,0.6336859191374676,1500,oneIter
exon_3,5000,1.0,0.9874821697773036,3000,oneIter
exon_1,1500,1.0,3.8126917188198166,0,oneIter
exon_2,1500,0.6,0.6301949318282807,1500,oneIter
exon_3,5000,1.0,0.9879689727969736,3000,oneIter
