feature,length,true_h,pred_h,Udist,result_type
exon_1,2000,1.0,0.7292038525496404,0,average
exon_2,2000,1.0,1.1499401654220056,2000,average
exon_3,5000,1.0,1.0021389004427668,4000,average
exon_1,2000,1.0,0.7235644230247921,0,oneIter
exon_2,2000,1.0,1.1606506948244744,2000,oneIter
exon_3,5000,1.0,1.0000310328701976,4000,oneIter
exon_1,2000,1.0,0.7334582503193723,0,oneIter
exon_2,2000,1.0,1.14555238848931,2000,oneIter
exon_3,5000,1.0,1.0031155291158742,4000,oneIter
exon_1,2000,1.0,0.7213936367588951,0,oneIter
exon_2,2000,1.0,1.156428315379913,2000,oneIter
exon_3,5000,1.0,1.0014560177912069,4000,oneIter
exon_1,2000,1.0,0.7252032847452011,0,oneIter
exon_2,2000,1.0,1.1670510823544298,2000,oneIter
exon_3,5000,1.0,0.9974826854591279,4000,oneIter
exon_1,2000,1.0,0.7327404803379021,0,oneIter
exon_2,2000,1.0,1.1370345552849155,2000,oneIter
exon_3,5000,1.0,1.0046602067382508,4000,oneIter
exon_1,2000,1.0,0.7335205929995182,0,oneIter
exon_2,2000,1.0,1.1492407093832955,2000,oneIter
exon_3,5000,1.0,1.0011315811623158,4000,oneIter
exon_1,2000,1.0,0.7289112392471734,0,oneIter
exon_2,2000,1.0,1.1482463888894843,2000,oneIter
exon_3,5000,1.0,1.002264221937266,4000,oneIter
exon_1,2000,1.0,0.7363089226153342,0,oneIter
exon_2,2000,1.0,1.13197050542603,2000,oneIter
exon_3,5000,1.0,1.006826215706933,4000,oneIter
exon_1,2000,1.0,0.7359115409259224,0,oneIter
exon_2,2000,1.0,1.147764311503012,2000,oneIter
exon_3,5000,1.0,1.001800514177608,4000,oneIter
exon_1,2000,1.0,0.7210261545222926,0,oneIter
exon_2,2000,1.0,1.155462702685191,2000,oneIter
exon_3,5000,1.0,1.0026209994688868,4000,oneIter
exon_1,2000,1.0,0.7740715525448457,0,average
exon_2,3500,1.0,1.1063531875284165,2000,average
exon_3,5000,1.0,1.0144314635855196,5500,average
exon_1,2000,1.0,0.7679848500516522,0,oneIter
exon_2,3500,1.0,1.1120328167110578,2000,oneIter
exon_3,5000,1.0,1.0059987299034778,5500,oneIter
exon_1,2000,1.0,0.7692242373477051,0,oneIter
exon_2,3500,1.0,1.1106818152933042,2000,oneIter
exon_3,5000,1.0,1.0131556683843446,5500,oneIter
