feature,length,true_h,pred_h,Udist,result_type
exon_1,2000,2.4,3.586875850836117,0,average
exon_2,2000,1.0,1.1061124677756669,2000,average
exon_3,5000,1.0,0.90787999660054,4000,average
exon_1,2000,2.4,3.5876434006535343,0,oneIter
exon_2,2000,1.0,1.1099932867457336,2000,oneIter
exon_3,5000,1.0,0.9051969710434993,4000,oneIter
exon_1,2000,2.4,3.653809499283736,0,oneIter
exon_2,2000,1.0,1.1007592616650426,2000,oneIter
exon_3,5000,1.0,0.9087103258480933,4000,oneIter
exon_1,2000,2.4,3.5616923638232634,0,oneIter
exon_2,2000,1.0,1.111555498874846,2000,oneIter
exon_3,5000,1.0,0.9062462006329203,4000,oneIter
exon_1,2000,2.4,3.659338823749988,0,oneIter
exon_2,2000,1.0,1.0984879221882407,2000,oneIter
exon_3,5000,1.0,0.9091726459704218,4000,oneIter
exon_1,2000,2.4,3.6218227558336538,0,oneIter
exon_2,2000,1.0,1.0934887718177788,2000,oneIter
exon_3,5000,1.0,0.9130241648543242,4000,oneIter
exon_1,2000,2.4,3.5540609044362372,0,oneIter
exon_2,2000,1.0,1.1125077161269867,2000,oneIter
exon_3,5000,1.0,0.9057072981171196,4000,oneIter
exon_1,2000,2.4,3.4251826856383834,0,oneIter
exon_2,2000,1.0,1.1223231574493389,2000,oneIter
exon_3,5000,1.0,0.9048702805432028,4000,oneIter
exon_1,2000,2.4,3.5985201722347324,0,oneIter
exon_2,2000,1.0,1.1076453513458764,2000,oneIter
exon_3,5000,1.0,0.9073831320754291,4000,oneIter
exon_1,2000,2.4,3.5785542758981927,0,oneIter
exon_2,2000,1.0,1.1106427587612855,2000,oneIter
exon_3,5000,1.0,0.9052718307845613,4000,oneIter
exon_1,2000,2.4,3.6281336268094444,0,oneIter
exon_2,2000,1.0,1.093720952781539,2000,oneIter
exon_3,5000,1.0,0.9132171161358278,4000,oneIter
exon_1,2000,2.4,1.1735473964829422,0,average
exon_2,3500,1.0,1.0113728785430347,2000,average
exon_3,5000,1.0,1.0482846255314764,5500,average
exon_1,2000,2.4,1.1811753113695296,0,oneIter
exon_2,3500,1.0,1.0129539088747483,2000,oneIter
exon_3,5000,1.0,1.0484832749652435,5500,oneIter
exon_1,2000,2.4,1.160589905260027,0,oneIter
exon_2,3500,1.0,1.0167146620686307,2000,oneIter
exon_3,5000,1.0,1.0475061802261942,5500,oneIter
exon_1,2000,2.4,1.185512720737527,0,oneIter
exon_2,3500,1.0,1.0081263040434336,2000,oneIter
exon_3,5000,1.0,1.0520483554656108,5500,oneIter
exon_1,2000,2.4,1.1535168990260045,0,oneIter
exon_2,3500,1.0,1.0166974178261425,2000,oneIter
exon_3,5000,1.0,1.0420469763943292,5500,oneIter
exon_1,2000,2.4,1.1746431119251879,0,oneIter
